2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0501185,Michael Lembeck,"(1 episode, 2010)",,,male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0426169,Sam Johnson,,"(17 episodes, 2010-2015)","co-executive producer / executive producer / supervising producer (123 episodes, 2010-2015)",mostly_male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0553104,Suzanne Martin,,"(creator) (128 episodes, 2010-2015)","executive producer (123 episodes, 2010-2015)",female,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0870699,David Trainer,"(25 episodes, 2010-2013)",,,male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0742756,Gay Rosenthal,,,"executive producer (2 episodes, 2010-2011)",female,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0372704,Robert Heath,,,"co-executive producer / producer / executive producer (124 episodes, 2010-2015)",male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0005003,Sean Hayes,,,"executive producer (124 episodes, 2010-2015)",male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0578179,Jeff Melnick,,,"producer / associate producer (123 episodes, 2010-2015)",male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm3952119,Bradley Gardner,,,"associate producer / producer (19 episodes, 2010-2011)",male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0271078,Liz Feldman,,"(1 episode, 2010)","producer (10 episodes, 2010)",female,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0128225,Andy Cadiff,"(76 episodes, 2010-2015)",,,male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm1789828,Todd Milliner,,,"executive producer (124 episodes, 2010-2015)",male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0709398,Chuck Ranberg,,"(11 episodes, 2010-2013)","co-executive producer / production executive (83 episodes, 2010-2014)",male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm1831929,Robert Zimmerman,,,"supervising producer (2 episodes, 2010-2011)",male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0545713,Chris Marcil,,"(17 episodes, 2010-2015)","co-executive producer / executive producer (123 episodes, 2010-2015)",mostly_male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0175165,Matthew Conner,,,"associate producer (17 episodes, 2010-2011)",male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0565346,Vanessa McCarthy,,"(3 episodes, 2010-2012)","consulting producer (6 episodes, 2010)",female,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0432627,Gil Junger,"(3 episodes, 2010)",,,male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm2997600,Keith Cox,,,"executive producer / associate producer (128 episodes, 2010-2015)",male,[]
2010,tt1583607,Hot in Cleveland,(2010–2015),"
Comedy            ",6,1,nm0643553,Lynda Obst,,,"executive producer (124 episodes, 2010-2015)",female,[]
