2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0373673,Elliot Hegarty,"(1 episode, 2014)",,,male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm1244069,Kenya Barris,,"(creator) (119 episodes, 2014-2019)","executive producer (98 episodes, 2014-2019)",mostly_female,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm2926263,James Griffiths,"(4 episodes, 2014-2017)",,"executive producer (1 episode, 2014)",male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm1150257,Corey Nickerson,,"(8 episodes, 2014-2017)","executive producer / co-executive producer (93 episodes, 2014-2018)",mostly_male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0376003,David Hemingson,,,"consulting producer (2 episodes, 2014-2015)",male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0625065,Victor Nelli Jr.,"(5 episodes, 2014-2016)",,,male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm1213782,Peter Principato,,,"executive producer (72 episodes, 2014-2017)",male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm2831742,Peter Saji,,"(10 episodes, 2014-2019)","supervising producer / co-executive producer / producer / executive producer (115 episodes, 2014-2019)",male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm1150421,Vijal Patel,,"(7 episodes, 2014-2017)","co-executive producer (9 episodes, 2014-2017)",unknown,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0503611,Gail Lerner,,"(11 episodes, 2014-2019)","co-executive producer / executive producer (55 episodes, 2014-2019)",mostly_female,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0038893,Rebecca Asher,"(3 episodes, 2014-2015)",,,female,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0812304,Matt Sohn,"(6 episodes, 2014-2016)",,,male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm6975175,Njeri Brown,,"(36 episodes, 2014-2016)",,unknown,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0768957,Claire Scanlon,"(3 episodes, 2014-2019)",,,female,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0342917,Jonathan Groff,,,"executive producer / consulting producer (78 episodes, 2014-2019)",male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0026364,Anthony Anderson,,,"executive producer (98 episodes, 2014-2019)",male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm7304408,Devanshi Patel,,"(24 episodes, 2014-2015)",,unknown,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0677725,Michael Petok,,,"producer (7 episodes, 2014-2019)",male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0918334,Scott Weinger,,,"supervising producer (15 episodes, 2014-2015)",male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm1827666,E. Brian Dobbins,,,"executive producer (98 episodes, 2014-2019)",unknown,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0000401,Laurence Fishburne,,,"executive producer (98 episodes, 2014-2019)",female,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0926526,Ken Whittingham,"(10 episodes, 2014-2019)",,,male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0932831,Larry Wilmore,,,"executive producer (23 episodes, 2014-2015)",male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm1971564,Lindsey Shockley,,"(43 episodes, 2014-2019)","producer / supervising producer / executive producer (47 episodes, 2014-2019)",mostly_female,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm1664239,Aaron Fink,,,"associate producer (24 episodes, 2014-2015)",male,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0837562,Helen Sugland,,,"executive producer (98 episodes, 2014-2019)",female,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm0101465,Yvette Lee Bowser,,"(3 episodes, 2014-2016)","consulting producer (3 episodes, 2014-2016)",female,[]
2014,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm1116986,Paul Young,,,"executive producer (72 episodes, 2014-2017)",male,[]
2015,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm1121120,Lisa McQuillan,,"(36 episodes, 2015-2016)",,female,[]
2015,tt3487356,Black-ish,(2014– ),"
Comedy            ",15,0,nm1244069,Kenya Barris,,"(creator) (119 episodes, 2014-2019)","executive producer (98 episodes, 2014-2019)",mostly_female,[]
