1955,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0270047,Don Fedderson,,,"executive producer (2 episodes, 1955)",male,[]
1955,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0326357,Duke Goldstone,"(2 episodes, 1955)",,"producer (2 episodes, 1955)",male,[]
1955,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,,male,[]
1955,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0377827,Fred Henry,,,"associate producer (2 episodes, 1955)",male,[]
1955,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1955,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0811838,Ed Sobol,,,"producer (19 episodes, 1955-1962)",male,[]
1956,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,,male,[]
1956,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1956,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0811838,Ed Sobol,,,"producer (19 episodes, 1955-1962)",male,[]
1957,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,,male,[]
1957,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1957,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0811838,Ed Sobol,,,"producer (19 episodes, 1955-1962)",male,[]
1958,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm3676977,Maury Orr,,,"associate producer (2 episodes, 1958)",male,[]
1958,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,,male,[]
1958,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1958,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0811838,Ed Sobol,,,"producer (19 episodes, 1955-1962)",male,[]
1959,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,,male,[]
1959,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1959,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0811838,Ed Sobol,,,"producer (19 episodes, 1955-1962)",male,[]
1960,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,,male,[]
1960,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1960,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0811838,Ed Sobol,,,"producer (19 episodes, 1955-1962)",male,[]
1961,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,,male,[]
1961,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
