2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm0958449,Steve Zuckerman,"(1 episode, 2005)",,,male,[]
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm1223280,Eric Friedman,,"(6 episodes, 2005-2006)",,male,[]
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm0732472,Chris Robinson,,,"associate producer (5 episodes, 2005)",mostly_male,[]
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm1199803,Bill O'Dowd,,,"executive producer (56 episodes, 2005-2008)",male,"[""Nom. Outstanding Children's Program 2005""]"
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm0004597,Adam Weissman,"(17 episodes, 2005-2008)",,,male,[]
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm0596429,Steven Molaro,,"(3 episodes, 2005-2007)",,male,[]
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm0601494,Leanne Moore,,,"line producer / producer (14 episodes, 2005-2007)",female,[]
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm0390822,Savage Steve Holland,"(7 episodes, 2005)",,,unknown,[]
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm1945862,Anthony Del Broccolo,,"(6 episodes, 2005-2006)",,male,[]
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm0773759,Dan Schneider,,"(creator) (48 episodes, 2005-2008)","executive producer (59 episodes, 2005-2008)",male,"[""Nom. Outstanding Children's Program 2005""]"
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm1106656,Jörg Westerkamp,,,"executive producer (24 episodes, 2005-2008)",unknown,[]
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm1543688,Steve Hoefer,"(16 episodes, 2005-2008)",,,male,[]
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm1771394,Sven Clement,,,"executive producer (8 episodes, 2005)",male,[]
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm0477964,Jan Korbelin,,,"executive producer (8 episodes, 2005-2007)",male,"[""Nom. Outstanding Children's Program 2005""]"
2005,tt0415463,Zoey 101,(2005–2008),"
Comedy, Drama, Family            ",1,0,nm2257577,Steve Holland,,"(10 episodes, 2005-2007)",,male,[]
